Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
forms.gle,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1
fonction-pst1.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1
sprrsolutions.in,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
bio.link,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1
opensea.io.pfv.com.co,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
wordpress-923061-3204009.cloudwaysapps.com,0,0,1,2,0,0,0,1,0,0,1,1,1,1,1,1
cafe5m.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
freenikah.in,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1
ipfs.io,0,0,1,2,0,0,0,0,0,0,1,1,1,1,1,1
bremthwerei.web.app,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
globalnews18.in,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
help-center83.crabdance.com,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1
xzdedesa.cxsdder.repl.co,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
geralservicosexpress.com,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1
apiwhesgooe4560.page.link,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1
amazon-gytrdxsfd.dns04.com,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1
0589ba7c-78df-4892-a0fe-a08597bc703e.id.repl.co,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1
storage.yandexcloud.net,0,0,1,2,0,0,0,0,1,1,1,1,1,1,0,1
jaduavas.the-minting.com,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
steve08.byethost32.com,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
ama-co-upandasn.cndonglong.com.cn,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
vmi1170835.contaboserver.net,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1
